name,nationality,date,style,new_filename,title
Marc Chagall,"French,Jewish,Belarusian",1944,Cubism,58884.jpg,Listening to the Cock
Marc Chagall,"French,Jewish,Belarusian",1973,Primitivism,217.jpg,Untitled
Marc Chagall,"French,Jewish,Belarusian",1961,Surrealism,83879.jpg,Paradise
Marc Chagall,"French,Jewish,Belarusian",1958,Surrealism,4085.jpg,Song of Songs IV
Marc Chagall,"French,Jewish,Belarusian",1942,Surrealism,56440.jpg,"Finale of the Ballet ""Aleko"""
Pablo Picasso,Spanish,1895,Realism,38785.jpg,Bust of young man
Pablo Picasso,Spanish,1920,Cubism,12065.jpg,Pedestal
Pablo Picasso,Spanish,1903,Expressionism,41176.jpg,Mother and son with handkerchief
Pablo Picasso,Spanish,1906,Expressionism,96298.jpg,Portrait of Gertrude Stein
Pablo Picasso,Spanish,1900,PostImpressionism,649.jpg,Embrace
Pablo Picasso,Spanish,1917,Expressionism,81489.jpg,Self-Portrait
Paul Cezanne,French,1895,PostImpressionism,29757.jpg,Still Life with Plaster Cupid
Paul Cezanne,French,1891,PostImpressionism,99616.jpg,Bathers
Paul Cezanne,French,1906,Cubism,3169.jpg,Mont Sainte-Victoire
Paul Cezanne,French,1866,Romanticism,66097.jpg,Uncle Dominique as a Lawyer
Paul Cezanne,French,1875,Impressionism,8521.jpg,Self-portrait
Paul Cezanne,French,1904,Cubism,101081.jpg,Bathers 
Paul Gauguin,French,1897,PostImpressionism,8002.jpg,"Coming and going, Martinique"
Paul Gauguin,French,1889,PostImpressionism,1636.jpg,Breton Girls by the sea 
Paul Gauguin,French,1884,Impressionism,76987.jpg,The artist's children
Paul Gauguin,French,1891,PostImpressionism,41041.jpg,Portrait of Suzanne Bambridge
Paul Gauguin,French,1894,PostImpressionism,88258.jpg,A breton landscape. David's mill.
Paul Gauguin,French,1882,Impressionism,75593.jpg,Bouquet of flowers
Paul Klee,"German,Swiss",1939,Cubism,17479.jpg,Oriental Garden
Paul Klee,"German,Swiss",1931,Cubism,76302.jpg,Castle Garden
Paul Klee,"German,Swiss",1939,Expressionism,56745.jpg,This flower wishes to fade
Paul Klee,"German,Swiss",1925,Expressionism,16371.jpg,Fish Magic
Paul Klee,"German,Swiss",1930,Expressionism,31967.jpg,Likeness in the bower 
Paul Klee,"German,Swiss",1922,Cubism,47930.jpg,Wall Painting from the Temple of Longing
Peter Paul Rubens,Flemish,1611,Baroque,89552.jpg,"Selfportrait with brother Philipp, Justus Lipsius and another scholar"
Peter Paul Rubens,Flemish,1627,Baroque,59535.jpg,Albert and Nicolaas Rubens
Peter Paul Rubens,Flemish,1628,Baroque,71719.jpg,Portrait of Ambrogio Spinola
Peter Paul Rubens,Flemish,1608,Baroque,65295.jpg,The Martyrdom of St. Sebastian
Peter Paul Rubens,Flemish,1606,Baroque,5528.jpg,Esther and Ahasverus
Peter Paul Rubens,Flemish,1616,Baroque,46161.jpg,Boy with Bird
Pierre-Auguste Renoir,French,1873,Impressionism,52202.jpg,Woman at the Garden
Pierre-Auguste Renoir,French,1919,Impressionism,11691.jpg,Woman in Blue and Zaza in a Landscape
Pierre-Auguste Renoir,French,1905,Impressionism,97829.jpg,Gabrielle in a Chemise
Pierre-Auguste Renoir,French,1885,Impressionism,47059.jpg,Roses from Wargemont
Pierre-Auguste Renoir,French,1884,Impressionism,101056.jpg,Little Girl in a White Apron (Portrait of Lucie Berard)
Pierre-Auguste Renoir,French,1883,Impressionism,39966.jpg,Bust of a Woman (Yellow Dress)
Raphael,Italian,1503,HighRenaissance,15000.jpg,The Adoration of the Magi
Raphael,Italian,1509,HighRenaissance,36575.jpg,The Madonna of Loreto
Raphael,Italian,1513,HighRenaissance,18583.jpg,"Putti, detail from The Sistine Madonna "
Raphael,Italian,1511,HighRenaissance,32132.jpg,The School of Athens (detail)
Raphael,Italian,1506,HighRenaissance,9917.jpg,St. George and the Dragon
Raphael,Italian,1519,HighRenaissance,89459.jpg,Scenes from the Life of David
Rembrandt,Dutch,1637,Baroque,32073.jpg,Female Nude with Snake (Cleopatra)
Rembrandt,Dutch,1652,Baroque,18967.jpg,"Portrait of Titus, Rembrandt`s Son"
Rembrandt,Dutch,1635,Baroque,79858.jpg,A Polander Walking Towards the Right
Rembrandt,Dutch,1629,Baroque,13171.jpg,Self-portrait at an early age
Rembrandt,Dutch,1627,Baroque,22278.jpg,David Offering the Head of Goliath to King Saul
Rembrandt,Dutch,1662,Baroque,36159.jpg,The Conspiration of the Bataves
Rene Magritte,Belgian,1928,Surrealism,100022.jpg,The voice of space
Rene Magritte,Belgian,1959,Surrealism,60030.jpg,The flash
Rene Magritte,Belgian,1950,Surrealism,31927.jpg,Perspective: Madame Récamier de David
Rene Magritte,Belgian,1929,Surrealism,9814.jpg,The living mirror
Rene Magritte,Belgian,1930,Surrealism,82421.jpg,On the threshold of liberty
Rene Magritte,Belgian,1926,Surrealism,67197.jpg,Popular panorama
Salvador Dali,Spanish,1939,Surrealism,16279.jpg,Shirley Temple
Salvador Dali,Spanish,1960,Surrealism,47399.jpg,San Salvador and Antonio Gaudi Fighting for the Crown of the Virgin
Salvador Dali,Spanish,1951,Surrealism,72573.jpg,Celestial Coronation
Salvador Dali,Spanish,1925,PostImpressionism,79198.jpg,Study of Nude
Salvador Dali,Spanish,1957,Surrealism,83617.jpg,Swallow
Titian,Italian,1518,HighRenaissance,5216.jpg,Assumption of the Virgin
Titian,Italian,1576,LateRenaissance,16033.jpg,Doge Antonio Grimani Kneeling Before the Faith
Titian,Italian,1510,HighRenaissance,74597.jpg,The Concert
Titian,Italian,1542,LateRenaissance,21090.jpg,Clarice Strozzi
Titian,Italian,1551,LateRenaissance,85295.jpg,"Philipp II, as Prince"
Titian,Italian,1550,LateRenaissance,40663.jpg,Portrait of the Great Elector John Frederick of Saxony
Vincent van Gogh,Dutch,1888,PostImpressionism,27087.jpg,Sunny Lawn in a Public Park
Vincent van Gogh,Dutch,1884,Realism,54245.jpg,Avenue of Poplars
Vincent van Gogh,Dutch,1888,PostImpressionism,102958.jpg,View of Arles with Trees in Blossom
Vincent van Gogh,Dutch,1888,PostImpressionism,76904.jpg,Public Park with Weeping Willow The Poet s Garden I
Vincent van Gogh,Dutch,1888,PostImpressionism,38746.jpg,Mother Roulin with Her Baby
Vincent van Gogh,Dutch,1886,PostImpressionism,34772.jpg,Standing Male Nude Seen from the Front
William Turner,British,1845,Romanticism,97982.jpg,Coast Scene
William Turner,British,1841,Romanticism,87513.jpg,Hafod
William Turner,British,1846,Romanticism,38524.jpg,The Angel Standing in the Sun
William Turner,British,1798,Romanticism,57386.jpg,"Norham Castle, Sunrise"
William Turner,British,1845,Romanticism,82239.jpg,"Brunnen, from the Lake of Lucerne"
William Turner,British,1824,Romanticism,48141.jpg,"Arundel Castle, with Rainbow"
